se_lon,se_lat,re_lon,re_lat,se_busID,re_busID
-76.87060712318325,39.13243382293685,-76.87040912323242,39.132327824188266,31214102501,411204_782_162703_244
-76.86411311364753,39.12346082636321,-76.8641591102499,39.12317982290451,411750_608_161719_681,411746_677_161688_48
-76.86423511925477,39.12201882315426,-76.86422611016293,39.12155882201409,31314202047,31314202002
-76.87801711779383,39.13342882929216,-76.87838011829572,39.13294882327121,410546_822_162824_564,410515_508_162771_235
-76.87342412248627,39.13379882395908,-76.87304012097384,39.133698826144325,31214102007,31214102008
-76.86633311138719,39.12556682304921,-76.86719011364389,39.12569982662936,31214402003,411484_172_161967_848
-76.87366811606007,39.14051282589307,-76.87452911436263,39.13938282645138,31114302550,31114302551
-76.86925112152213,39.12197082120904,-76.86935511254828,39.121778824760106,411306_551_161553_622,31314102504
-76.86421411970838,39.12250882195959,-76.86423611001588,39.12212982019051,411742_031_161613_983,411740_192_161571_906
-76.86779211495295,39.13120682932303,-76.86660711767318,39.130657822954845,31214302501,31214402503
-76.85756411746465,39.12384682323641,-76.85679011445971,39.12425582239091,31313102033_9981091,412383_704_161808_904
-76.87144611261587,39.13294582842511,-76.87107711464212,39.13270182199068,31214102101_4854916,411146_968_162744_681
-81.51796145596731,37.58985733360807,-81.51795945884601,37.58982634126801,SOURCE_7773-1,31114303147
-76.86613611733233,39.12720682594984,-76.86620811639176,39.12613382004675,31214402010,411569_014_162016_151
-76.8688191158936,39.1227618213506,-76.86916911956608,39.12212181993262,31314102505,411313_618_161570_395
-76.87729111639757,39.1356538280838,-76.87730511796825,39.135636826794645,410609_26_163071_653,31215202522
-76.85825711604488,39.12449282111502,-76.85791010990536,39.12417382611781,412256_81_161835_016,412286_871_161799_65
-76.86401411943034,39.12494982302668,-76.86364012082153,39.12526181979183,31214402504,411791_21_161919_676
-76.86390911473003,39.124144823801934,-76.86404311642008,39.123858824098775,31214402000,31314202011
-76.86388311990532,39.12446382779995,-76.86390911473003,39.124144823801934,411770_33_161831_057,31214402000
-76.87693911781979,39.13476382857712,-76.87725111496023,39.134403821122696,410639_826_162972_892,410612_905_162932_89
-76.87413312026388,39.13402382148883,-76.87342412248627,39.13379882395908,410882_541_162891_072,31214102007
-76.86613611733233,39.12720682594984,-76.86620412088644,39.127230828668175,31214402010,411569_181_162137_934
-76.87221511883267,39.13341782846532,-76.87178211560337,39.13317682619026,31214102010,411085_939_162797_327
