Bus_ID,Longitude,Latitude
411484_172_161967_848,-76.86719011364389,39.12569982662936
31213300002-xfo,-76.85795244511536,39.12625148987534
31214100015-xfo,-76.87411211829122,39.13287325158683
410934_341_163070_542_sec_0,-76.87353111907915,39.13563982389086
410857_524_162535_683-1,-76.87439012243398,39.13082848980372
411742_031_161613_983-1,-76.86426711827643,39.122485489102395
411450_801_161725_235-1,-76.86754244652447,39.12352482451403
31213302048_leg3-1,-76.85500161140057,39.1276768240103
31214300028-xfo,-76.87053842929592,39.12637785936873
31213302046_leg3,-76.85506910694188,39.12759382282006
31314200035-xfo,-76.85956121320034,39.12246187433248
31214400013-xfo,-76.86705328250027,39.13003550739346
31214100036-xfo,-76.8757473686782,39.132744812889406
31314202520,-76.8640611190302,39.1237698195068
412383_704_161808_904,-76.85679011445971,39.12425582239091
410634_186_163052_259-1,-76.87700311644362,39.13543482634778
31314202011,-76.86404311642008,39.123858824098775
410858_904_162915_685,-76.87440611721837,39.13424582614572
411194_128_162168_143_sec_0,-76.87054112235504,39.12750781996504
31214300021-xfo,-76.87088064505645,39.12859997741451
tiepoint_10173607,-76.85506411142497,39.1275708283969
412522_382_161986_078-1,-76.85516407625528,39.12593867022777
411362_402_161682_145,-76.86860311193962,39.12312782426554
411410_848_161787_011,-76.86804111218136,39.12407181949231
410878_413_163125_972,-76.87417712062619,39.13613982764152
31215200015-xfo,-76.87768212088376,39.13395682582948
411661_414_161747_302,-76.86514411775401,39.12371082556802
31214400008-xfo,-76.86713500354287,39.126323024694706
410953_325_163283_937,-76.87330811731337,39.137561826102086
411280_829_162125_749_sec_0,-76.86953911999238,39.12712482666231
31214400002-xfo,-76.86738811516953,39.125112491268034
protdev_10174537,-76.85498424388607,39.12766670012611
31314200022-xfo,-76.86432011679813,39.12246215622107
31214402003,-76.86633311138719,39.12556682304921
411326_526_162819_871,-76.86899911440386,39.13337682341714
31215200030-xfo,-76.87821782187433,39.131676910232954
31314100003-xfo,-76.8685634405827,39.12104047435943
31214100039-xfo,-76.87619614032077,39.13732490505734
31214102013,-76.86851411984179,39.1340248234173
